iter	Passed	Remaining
0	0	63
1	1	53
2	1	45
3	1	44
4	2	43
5	2	42
6	3	42
7	3	42
8	4	42
9	4	40
10	5	40
11	5	40
12	6	40
13	6	39
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	9	34
22	10	34
23	11	34
24	11	34
25	11	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	20	25
45	21	25
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	38	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
